bedrijf,plaats,regio,provincie,website,email,mobiel_whatsapp,contactformulier_url,warmtepomp_bevestigd,ook_actief_in,outreach_status,bron
B. van Erve installateur,Amsterdam,Amsterdam,Noord-Holland,https://www.bvanerve.nl/,,,https://www.bvanerve.nl/contact,ja,Almere; Haarlem; Zaandam; Purmerend,,OSM/Overpass + website
HuizenDuurzaam,Huizen,Amsterdam,Noord-Holland,https://huizenduurzaam.nl,info@huizenduurzaam.nl,,,ja,Almere; Amersfoort,,OSM/Overpass + website
CoolAir Nederland,Purmerend,Amsterdam,Noord-Holland,https://www.coolairnederland.nl/,info@coolairnederland.nl,,,ja,Almere; Zaandam; Purmerend; Alkmaar; Hoorn,,OSM/Overpass + website
REVO,Purmerend,Amsterdam,Noord-Holland,https://rizzyco.wixsite.com/revobv-2,,,https://rizzyco.wixsite.com/revobv-2/contact,ja,Almere; Zaandam; Purmerend; Alkmaar; Hoorn,,OSM/Overpass + website
REPI Installatietechniek,Denekamp,Enschede,Overijssel,https://repi.nl/,info@repi.nl,,,ja,,,OSM/Overpass + website
Aircoshop,Eibergen,Enschede,Overijssel,https://www.aircoshop.nl,,0666262419,,ja,,,OSM/Overpass + website
Polhuis Totaal Installatie,Enschede,Enschede,Overijssel,https://polhuistotaal.nl/,renate@polhuistotaal.nl,,,ja,,,OSM/Overpass + website
Installatiebedrijf Koller,Hattem,Zwolle,Overijssel,https://kollerhattem.nl/,info@kollerhattem.nl,,,ja,,,OSM/Overpass + website
Hagro Verwarming,Amersfoort,Utrecht,Utrecht,https://www.hagro-verwarming.nl/,info@hagro-verwarming.nl,,,ja,Almere; Amersfoort,,OSM/Overpass + website
Brandsen Installatietechniek,Barneveld,Amersfoort,Utrecht,https://brandsen-installatietechniek.nl/,info@brandsen-installatietechniek.nl,,,ja,Apeldoorn,,OSM/Overpass + website
IM Duurzaam,Bunschoten-Spakenburg,Utrecht,Utrecht,https://www.daikin.nl/nl_nl/consument/dealer-locator/im-duurzaam.html,aangenaam@daikin.nl,,,ja,Almere; Amersfoort,,OSM/Overpass + website
Klimaatmissie Nederland,Leusden,Amersfoort,Utrecht,https://klimaatmissienederland.nl/,aandeslag@klimaatmissienederland.nl,,,ja,,,OSM/Overpass + website
Samen Duurzaam,Leusden,Amersfoort,Utrecht,https://www.samenduurzaambv.nl/,info@samenduurzaambv.nl,,,ja,,,OSM/Overpass + website
Installatiebedrijf Nescio,Vlissingen,Middelburg,Zeeland,https://www.ibnescio.nl/,,0622574143,,ja,,,OSM/Overpass + website
T.B. van Wichen,'s-Gravenhage,Rotterdam,Zuid-Holland,https://vanwichenbv.nl/,info@vanwichenbv.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
Installatiebedrijf Keyzer,Den Hoorn,Rotterdam,Zuid-Holland,https://www.keyzerbv.nl/,installatiebedrijf@keyzerbv.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
Loodgieterskwartier,Rijswijk,Rotterdam,Zuid-Holland,https://loodgieterskwartier.nl/,info@loodgieterskwartier.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
ABE Installatietechniek,Rotterdam,Rotterdam,Zuid-Holland,https://www.abe-installatietechniek.nl,info@abe-installatietechniek.nl,,,ja,Den Haag; Dordrecht; Delft,,OSM/Overpass + website
Rensa,Rotterdam,Rotterdam,Zuid-Holland,https://www.rensa.nl/,,,https://www.rensa.nl/contact,ja,Den Haag; Dordrecht; Delft,,OSM/Overpass + website
Hennink Installatietechniek,Voorburg,Rotterdam,Zuid-Holland,https://hennink.info/,,0606648177,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
Sima Installatietechniek,Voorburg,Rotterdam,Zuid-Holland,https://simainstallatie.nl/,info@simainstallatie.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
Verkade Klimaat,Wateringen,Rotterdam,Zuid-Holland,https://verkadeklimaat.nl/,info@verkadeklimaat.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
